objectid,classification,endyear,medium,title,uuid,iiifurl,iiifthumburl,width,height,maxpixels,created
204672,Photograph,1900-1920,photogravure,The Street—Design for a Poster,ceb41e6a-d52e-4f5f-9f46-1285dae53b5b,https://api.nga.gov/iiif/ceb41e6a-d52e-4f5f-9f46-1285dae53b5b,"https://api.nga.gov/iiif/ceb41e6a-d52e-4f5f-9f46-1285dae53b5b/full/!200,200/0/default.jpg",1155,1536,,2014-11-06 12:18:09-05
204678,Photograph,1900-1920,photogravure,Spring,901a2de4-1bf9-477d-b428-d35dab5c574d,https://api.nga.gov/iiif/901a2de4-1bf9-477d-b428-d35dab5c574d,"https://api.nga.gov/iiif/901a2de4-1bf9-477d-b428-d35dab5c574d/full/!200,200/0/default.jpg",1536,1216,,2014-11-07 15:09:15-05
204630,Photograph,1900-1920,photogravure,"Spring Showers, New York",40959372-aee0-4ca2-a66c-613fc40efd53,https://api.nga.gov/iiif/40959372-aee0-4ca2-a66c-613fc40efd53,"https://api.nga.gov/iiif/40959372-aee0-4ca2-a66c-613fc40efd53/full/!200,200/0/default.jpg",607,1536,,2014-11-06 12:15:14-05
35410,Photograph,1900-1920,photogravure on beige thin slightly textured laid Japanese paper,Spring Showers—The Street-Cleaner,43c08761-f4d7-4885-b08e-c84ff079acc3,https://api.nga.gov/iiif/43c08761-f4d7-4885-b08e-c84ff079acc3,"https://api.nga.gov/iiif/43c08761-f4d7-4885-b08e-c84ff079acc3/full/!200,200/0/default.jpg",2496,6294,,2014-09-02 16:35:42-04
35411,Photograph,1900-1920,gelatin silver print,Street Sweeper and Little Tree,96aa10bc-d3f9-40d5-8059-deca6b3f26af,https://api.nga.gov/iiif/96aa10bc-d3f9-40d5-8059-deca6b3f26af,"https://api.nga.gov/iiif/96aa10bc-d3f9-40d5-8059-deca6b3f26af/full/!200,200/0/default.jpg",1944,4931,,2014-02-06 18:32:08-05
35412,Photograph,1900-1920,gelatin silver print,Street Sweeper and Little Tree,76a42117-9aed-4cec-aacb-bc0ce5790c30,https://api.nga.gov/iiif/76a42117-9aed-4cec-aacb-bc0ce5790c30,"https://api.nga.gov/iiif/76a42117-9aed-4cec-aacb-bc0ce5790c30/full/!200,200/0/default.jpg",2971,4790,,2014-01-14 12:18:50-05
35414,Photograph,1900-1920,photogravure on beige thin slightly textured laid Japanese paper,Spring—The Child,15d0729f-5d1c-4a5e-bf9d-b5ee5ece1201,https://api.nga.gov/iiif/15d0729f-5d1c-4a5e-bf9d-b5ee5ece1201,"https://api.nga.gov/iiif/15d0729f-5d1c-4a5e-bf9d-b5ee5ece1201/full/!200,200/0/default.jpg",4851,3832,,2014-09-02 16:06:06-04
35416,Photograph,1900-1920,gelatin silver print mounted on paperboard,Mrs. Stieffel,47c38da4-876c-4121-85c9-892d3a40eb03,https://api.nga.gov/iiif/47c38da4-876c-4121-85c9-892d3a40eb03,"https://api.nga.gov/iiif/47c38da4-876c-4121-85c9-892d3a40eb03/full/!200,200/0/default.jpg",4352,5405,,2014-02-10 16:59:23-05
35418,Photograph,1900-1920,photogravure on beige thin slightly textured laid Japanese paper,"The Street, Fifth Avenue",dfcaae5d-3a27-499c-854a-71303d3999c4,https://api.nga.gov/iiif/dfcaae5d-3a27-499c-854a-71303d3999c4,"https://api.nga.gov/iiif/dfcaae5d-3a27-499c-854a-71303d3999c4/full/!200,200/0/default.jpg",3684,4838,,2014-09-02 16:16:02-04
35419,Photograph,1900-1920,gelatin silver print,Fifth Avenue—30th Street,48cd0651-b031-46e8-b05f-e00cd3660537,https://api.nga.gov/iiif/48cd0651-b031-46e8-b05f-e00cd3660537,"https://api.nga.gov/iiif/48cd0651-b031-46e8-b05f-e00cd3660537/full/!200,200/0/default.jpg",4244,5527,,2014-01-14 12:31:12-05
115379,Photograph,1900-1920,albumen print,"Arcueil-Cachan, Parc de Madame de Provigny",c70d178a-569a-41f9-9d87-5624c6d4ecd2,https://api.nga.gov/iiif/c70d178a-569a-41f9-9d87-5624c6d4ecd2,"https://api.nga.gov/iiif/c70d178a-569a-41f9-9d87-5624c6d4ecd2/full/!200,200/0/default.jpg",4190,3388,,2011-03-28 15:58:14-04
125746,Photograph,1900-1920,photogravure on chine collé mounted on white paper and on dark gray wove paper,Portrait of Miss Jones,0f4d17f3-6178-4c09-90fb-7be98c457ed4,https://api.nga.gov/iiif/0f4d17f3-6178-4c09-90fb-7be98c457ed4,"https://api.nga.gov/iiif/0f4d17f3-6178-4c09-90fb-7be98c457ed4/full/!200,200/0/default.jpg",3574,4891,,2011-04-07 15:46:46-04
127451,Photograph,1900-1920,photogravure mounted on brown wove paper,Lady of Charlotte,7f84e2d1-d7c8-4f57-90ad-17c340822974,https://api.nga.gov/iiif/7f84e2d1-d7c8-4f57-90ad-17c340822974,"https://api.nga.gov/iiif/7f84e2d1-d7c8-4f57-90ad-17c340822974/full/!200,200/0/default.jpg",3603,4886,,2011-04-07 15:43:37-04
127452,Photograph,1900-1920,photogravure in sepia on chine collé mounted on white paper and on dark gray wove paper,The Dance,5e034f48-dc00-4d2a-a321-c144b03ce878,https://api.nga.gov/iiif/5e034f48-dc00-4d2a-a321-c144b03ce878,"https://api.nga.gov/iiif/5e034f48-dc00-4d2a-a321-c144b03ce878/full/!200,200/0/default.jpg",3659,4976,,2011-04-07 15:54:21-04
127453,Photograph,1900-1920,photogravure mounted on gray wove paper,The Ranchman,c70a5a3e-51ee-4716-974c-390ab83a930f,https://api.nga.gov/iiif/c70a5a3e-51ee-4716-974c-390ab83a930f,"https://api.nga.gov/iiif/c70a5a3e-51ee-4716-974c-390ab83a930f/full/!200,200/0/default.jpg",3645,4971,,2011-04-07 15:53:05-04
