source,target,value
albumen print,1840,232
salted paper print,1840,137
daguerreotype with applied color,1840,35
albumen print,1860,478
albumen print (carte-de-visite),1860,107
stereoscopic albumen prints,1860,23
collotype,1880,729
platinum print,1880,209
albumen print,1880,90
gelatin silver print,1900,293
photogravure,1900,151
platinum print,1900,113
photogravure,1920,68
palladium print,1920,96
gelatin silver print,1920,2082
gelatin silver print,1940,3442
contact sheet,1940,2711
2 1/4 inch gelatin silver prints mounted on board,1940,53
gelatin silver print,1960,2176
offset lithograph,1960,265
contact sheet,1960,254
gelatin silver print,1980,1654
chromogenic print,1980,397
gelatin silver print on aluminum,1980,218
inkjet print,2000,415
gelatin silver print,2000,380
chromogenic print,2000,149
